#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000320565.1	PRJNA264111	SAMN00120232	AEFD00000000.1	representative genome	692275	85929	Sphaerulina musiva SO2202	strain=SO2202		latest	Scaffold	Major	Full	2013/02/27	Septoria musiva SO2202 v1.0	JGI	GCA_000320565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/565/GCF_000320565.1_Septoria_musiva_SO2202_v1.0		
GCF_000218685.1	PRJNA225516	SAMN02744068	AEQB00000000.1	representative genome	578457	85982	Serpula lacrymans var. lacrymans S7.9	strain=S7.9		latest	Scaffold	Major	Full	2011/06/17	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000218685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/685/GCF_000218685.1_v1.0		
GCF_000365165.1	PRJNA245126	SAMN01919308	AOFF00000000.1	representative genome	1279043	86049	Cladophialophora carrionii CBS 160.54	strain=CBS 160.54		latest	Scaffold	Major	Full	2013/12/11	Clad_carr_CBS_160_54_V1	Broad Institute	GCA_000365165.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/165/GCF_000365165.1_Clad_carr_CBS_160_54_V1		assembly from type material
GCF_000835555.1	PRJNA292602	SAMN02567657	JYBU00000000.1	representative genome	1442369	86056	Rhinocladiella mackenziei CBS 650.93	strain=CBS 650.93		latest	Scaffold	Major	Full	2015/02/23	Rhin_mack_CBS_650_93_V1	Broad Institute	GCA_000835555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/555/GCF_000835555.1_Rhin_mack_CBS_650_93_V1		assembly from type material
GCF_000835475.1	PRJNA319323	SAMN02567658	JYBT00000000.1	representative genome	1442370	89940	Cladophialophora bantiana CBS 173.52	strain=CBS 173.52		latest	Scaffold	Major	Full	2015/02/23	Clad_bant_CBS_173_52_V1	Broad Institute	GCA_000835475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/475/GCF_000835475.1_Clad_bant_CBS_173_52_V1		assembly from synonym type material
GCF_000836115.1	PRJNA326653	SAMN03176947	JYBY00000000.1	representative genome	91928	91928	Exophiala spinifera	strain=CBS 89968		latest	Scaffold	Major	Full	2015/02/23	Exop_spin_CBS89968_V1	Broad Institute	GCA_000836115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/115/GCF_000836115.1_Exop_spin_CBS89968_V1		
GCF_000187405.1	PRJNA245139	SAMN02981259	ADNI00000000.1	representative genome	655827	92637	Metarhizium acridum CQMa 102	strain=CQMa 102		latest	Scaffold	Major	Full	2011/02/08	MetAcr_May2010	Metarhizium genome sequencing Consortium	GCA_000187405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/405/GCF_000187405.1_MetAcr_May2010		
GCF_000359705.1	PRJNA245152	SAMN00120049	AIHT00000000.1	representative genome	671987	93612	Exserohilum turcica Et28A	strain=Et28A		latest	Scaffold	Major	Full	2013/04/25	Setospaeria trucica Et28A v1.0	JGI	GCA_000359705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/705/GCF_000359705.1_Setospaeria_trucica_Et28A_v1.0		
GCF_000303195.2	PRJNA242845	SAMN02981337	AFNW00000000.1	representative genome	1028729	101028	Fusarium pseudograminearum CS3096	strain=CS3096		latest	Chromosome	Major	Full	2015/04/15	FP7	CSIRO	GCA_000303195.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/303/195/GCF_000303195.2_FP7		
GCF_000523455.1	PRJNA245121	SAMN02981450	AMCO00000000.1	representative genome	930090	101162	Bipolaris oryzae ATCC 44560	strain=ATCC 44560		latest	Scaffold	Major	Full	2014/01/30	Cochliobolus miyabeanus v1.0	JGI	GCA_000523455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/455/GCF_000523455.1_Cochliobolus_miyabeanus_v1.0		
GCF_003025105.1	PRJNA453597	SAMN00769595	MBGH00000000.1	representative genome	1042311	101201	Trichoderma asperellum CBS 433.97	strain=CBS 433.97		latest	Scaffold	Major	Full	2018/03/30	Trias v. 1.0	DOE Joint Genome Institute	GCA_003025105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/105/GCF_003025105.1_Trias_v._1.0		assembly from type material
GCF_000409485.1	PRJNA246203	SAMN02981444	ALVE00000000.1	representative genome	1116229	101852	Glarea lozoyensis ATCC 20868	strain=ATCC 20868		latest	Scaffold	Major	Full	2013/06/14	GLAREA	Institute Of Microbiology, Chinese Academy of Sciences 	GCA_000409485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/409/485/GCF_000409485.1_GLAREA		assembly from type material
GCF_000192795.1	PRJNA242548	SAMN02981300	AEUG00000000.1	representative genome	948595	103449	Vavraia culicis subsp. floridensis	strain=floridensis		latest	Scaffold	Major	Full	2011/03/22	Vavr_culi_floridensis_V1	Broad Institute	GCA_000192795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/795/GCF_000192795.1_Vavr_culi_floridensis_V1		
GCF_002117355.1	PRJNA445945	SAMN02193972	NEDQ00000000.1	representative genome	670580	104341	Postia placenta MAD-698-R-SB12	strain=MAD-698-R-SB12		latest	Scaffold	Major	Full	2017/05/03	PosplRSB12_1	DOE Joint Genome Institute	GCA_002117355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/355/GCF_002117355.1_PosplRSB12_1		
GCF_000344685.1	PRJNA245137	SAMN02743873	AFVP00000000.1	representative genome	670483	104355	Gloeophyllum trabeum ATCC 11539	strain=ATCC 11539		latest	Scaffold	Major	Full	2013/03/21	Glotr1_1	JGI	GCA_000344685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/685/GCF_000344685.1_Glotr1_1		
GCF_001720205.1	PRJNA352837	SAMN02086251	AWGJ00000000.1	representative genome	1295533	104669	Cryptococcus amylolentus CBS 6039	strain=CBS 6039		latest	Scaffold	Major	Full	2016/09/06	Cryp_amyl_CBS6039_V3	Broad Institute	GCA_001720205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/205/GCF_001720205.1_Cryp_amyl_CBS6039_V3		assembly from type material
GCF_003942205.1	PRJNA531017	SAMN10458770	RSCE00000000.1	representative genome	105984	105984	Apiotrichum porosum	strain=DSM 27194		latest	Contig	Major	Full	2018/12/12	ASM394220v1	Karlsruhe Institute of Technology	GCA_003942205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/205/GCF_003942205.1_ASM394220v1		
GCF_001792695.1	PRJNA395481	SAMN04942831	LYCR00000000.1	representative genome	109264	109264	Aspergillus bombycis	strain=NRRL 26010		latest	Contig	Major	Full	2016/10/19	ASM179269v1	USDA-ARS-SRRC	GCA_001792695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/792/695/GCF_001792695.1_ASM179269v1		assembly from type material
GCF_000182565.1	PRJNA319336	SAMN00716787	ACOE00000000.1	representative genome	645134	109760	Spizellomyces punctatus DAOM BR117	strain=DAOM BR117		latest	Scaffold	Major	Full	2015/07/29	S_punctatus_V1	Broad Institute	GCA_000182565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/565/GCF_000182565.1_S_punctatus_V1		
GCF_000203795.1	PRJNA225502	SAMN02746048	ADAR00000000.1	representative genome	684364	109871	Batrachochytrium dendrobatidis JAM81	strain=JAM81		latest	Scaffold	Major	Full	2011/04/12	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000203795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/795/GCF_000203795.1_v1.0		
GCF_900074925.1	PRJNA430539	SAMEA3894895	FJUY00000000.1	representative genome	112498	112498	Ramularia collo-cygni	strain=URUG2		latest	Scaffold	Major	Full	2017/10/29	version 1	Technische Universitat Munchen - WZW	GCA_900074925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/074/925/GCF_900074925.1_version_1		
GCF_000236905.1	PRJNA79335	SAMEA2272094		representative genome	1071381	113608	Tetrapisispora phaffii CBS 4417	strain=type strain:CBS 4417		latest	Chromosome	Major	Full	2011/11/17	ASM23690v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000236905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/905/GCF_000236905.1_ASM23690v1		assembly from type material
GCF_000275845.1	PRJNA242541	SAMN02981282	AEID00000000.1	representative genome	732165	114155	Dichomitus squalens LYAD-421 SS1	strain=LYAD-421 SS1		latest	Scaffold	Major	Full	2012/07/12	Dichomitus squalens v1.0	JGI	GCA_000275845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/845/GCF_000275845.1_Dichomitus_squalens_v1.0		
GCF_001636725.1	PRJNA342686	SAMN04908328	AZHB00000000.1	representative genome	1081104	114497	Cordyceps fumosorosea ARSEF 2679	strain=ARSEF 2679		latest	Scaffold	Major	Full	2016/05/04	ISF 1.0	Shanghai Institutes for Biological Sciences, CAS	GCA_001636725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/725/GCF_001636725.1_ISF_1.0		
GCF_000149555.1	PRJNA245136	SAMN02953630	AAIM00000000.2	representative genome	334819	117187	Fusarium verticillioides 7600	strain=7600		latest	Chromosome	Major	Full	2011/07/06	ASM14955v1	Syngenta Biotechnology, Inc.	GCA_000149555.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/555/GCF_000149555.1_ASM14955v1		
GCF_000150735.1	PRJNA264517	SAMN02953720	ABKI00000000.2	representative genome	502780	121759	Paracoccidioides brasiliensis Pb18	strain=Pb18		latest	Scaffold	Major	Full	2014/10/24	Paracocci_br_Pb18_V2	Broad Institute	GCA_000150735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/735/GCF_000150735.1_Paracocci_br_Pb18_V2		
GCF_002742065.1	PRJNA430274	SAMN03265455	LKMD00000000.1	representative genome	122368	122368	Cercospora beticola	strain=09-40		latest	Chromosome	Major	Full	2017/11/03	CB0940_V2	VIB	GCA_002742065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/065/GCF_002742065.1_CB0940_V2		
GCF_003851025.1	PRJNA514748	SAMD00076077	BFAD00000000.1	representative genome	139825	139825	Sparassis crispa			latest	Contig	Major	Full	2018/11/07	SCP_1.1	Department of Pediatric Cardiology, Tokyo Women's Medical University	GCA_003851025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/025/GCF_003851025.1_SCP_1.1		
GCF_000151355.1	PRJNA51499	SAMN02746079	ACJF00000000.1	representative genome	660122	140110	[Nectria] haematococca mpVI 77-13-4		77-13-4	latest	Scaffold	Major	Full	2009/08/27	v2.0	DOE Joint Genome Institute	GCA_000151355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/355/GCF_000151355.1_v2.0		
GCF_001500285.1	PRJNA342682	SAMN04009710	LKNI00000000.1	representative genome	149040	149040	Phialocephala scopiformis	strain=CBS 120377		latest	Scaffold	Major	Full	2016/01/07	Phisc1	DOE Joint Genome Institute	GCA_001500285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/285/GCF_001500285.1_Phisc1		
GCF_004154835.1	PRJNA531023	SAMN06205217	PDUP00000000.1	representative genome	156630	156630	Alternaria arborescens	strain=FERA 675		latest	Scaffold	Major	Full	2019/02/11	ASM415483v1	NIAB-East Malling Research	GCA_004154835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/835/GCF_004154835.1_ASM415483v1		
GCF_000149205.2	PRJNA13961	SAMN02953587	AACD00000000.1	representative genome	227321	162425	Aspergillus nidulans FGSC A4	strain=FGSC A4		latest	Scaffold	Minor	Full	2012/03/01	ASM14920v2	Broad Institute	GCA_000149205.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/205/GCF_000149205.2_ASM14920v2		
GCF_000803265.1	PRJNA302310	SAMN02867507	JOKQ00000000.1	representative genome	1354746	174685	Ordospora colligata OC4	strain=OC4		latest	Contig	Major	Full	2014/12/17	ASM80326v1	University of British Columbia	GCA_000803265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/803/265/GCF_000803265.1_ASM80326v1		
GCF_000280675.1	PRJNA225503	SAMN02981247	ADAH00000000.1	representative genome	655819	176275	Beauveria bassiana ARSEF 2860	strain=ARSEF 2860		latest	Scaffold	Major	Full	2012/08/14	ASM28067v1	Zhejiang University, China	GCA_000280675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/675/GCF_000280675.1_ASM28067v1		
GCF_000151335.2	PRJNA51583	SAMN02953748	ACFW00000000.1	representative genome	222929	199306	Coccidioides posadasii C735 delta SOWgp	strain=C735 delta SOWgp		latest	Contig	Major	Full	2009/06/17	JCVI-cpa1-1.0	TIGR-J. Craig Venter Institute	GCA_000151335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/335/GCF_000151335.2_JCVI-cpa1-1.0		
GCF_000264995.1	PRJNA242546	SAMN00632096	AEGM00000000.1	representative genome	741275	202698	Punctularia strigosozonata HHB-11173 SS5	strain=HHB-11173 SS5		latest	Scaffold	Major	Full	2012/06/11	Punctularia strigosozonata v1.0	JGI	GCA_000264995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/995/GCF_000264995.1_Punctularia_strigosozonata_v1.0		
GCF_000204055.1	PRJNA242542	SAMN02744053	AECX00000000.1	representative genome	747676	203908	Melampsora larici-populina 98AG31	strain=98AG31		latest	Scaffold	Major	Full	2011/04/13	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000204055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/055/GCF_000204055.1_v1.0		
GCF_000271605.1	PRJNA225512	SAMN02981288	AEJJ00000000.1	representative genome	694068	208960	Fomitiporia mediterranea MF3/22	strain=MF3/22		latest	Scaffold	Major	Full	2012/06/29	Fomme1	JGI	GCA_000271605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/605/GCF_000271605.1_Fomme1		
GCF_000221225.1	PRJNA225505	SAMN02981263	ADUW00000000.1	representative genome	759272	209285	Chaetomium thermophilum var. thermophilum DSM 1495	strain=DSM 1495		latest	Scaffold	Major	Full	2011/07/22	CTHT_3.0	EMBL	GCA_000221225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/225/GCF_000221225.1_CTHT_3.0		assembly from type material
GCF_000836275.1	PRJNA326655	SAMN03176949	JYBW00000000.1	representative genome	212818	212818	Exophiala mesophila	strain=CBS 40295		latest	Scaffold	Major	Full	2015/02/23	Exop_meso_CBS40295_V1	Broad Institute	GCA_000836275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/275/GCF_000836275.1_Exop_meso_CBS40295_V1		
GCF_000835515.1	PRJNA326654	SAMN03176945	JYCA00000000.1	representative genome	215243	215243	Exophiala oligosperma	strain=CBS 72588		latest	Scaffold	Major	Full	2015/02/23	Exop_olig_CBS72588_V1	Broad Institute	GCA_000835515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/515/GCF_000835515.1_Exop_olig_CBS72588_V1		
GCF_003144295.1	PRJNA479905	SAMN02787018	MCOI00000000.1	representative genome	215250	215250	Acaromyces ingoldii	strain=MCA 4198		latest	Scaffold	Major	Full	2018/05/21	Acain1	DOE Joint Genome Institute	GCA_003144295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/295/GCF_003144295.1_Acain1		assembly designated as reftype
GCF_000392275.1	PRJNA245153	SAMN01908518	AORD00000000.1	representative genome	1286976	223192	Phaeoacremonium minimum UCRPA7	strain=UCRPA7		latest	Scaffold	Major	Full	2013/05/16	UCRPA7V03	UC Davis	GCA_000392275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/275/GCF_000392275.1_UCRPA7V03		
GCF_000143105.1	PRJNA264104	SAMN02953765	ACXQ00000000.2	representative genome	655863	226899	Grosmannia clavigera kw1407	strain=kw1407		latest	Scaffold	Major	Full	2011/01/31	Sanger-454-IlluminaPA_2.0	Michael Smith Laboratories at UBC	GCA_000143105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/105/GCF_000143105.1_Sanger-454-IlluminaPA_2.0		
GCF_000300595.1	PRJNA242544	SAMN02981278	AEHB00000000.1	representative genome	650164	231932	Phanerochaete carnosa HHB-10118-sp	strain=HHB-10118-sp		latest	Scaffold	Major	Full	2012/10/16	Phanerochaete carnosa HHB-10118-Sp v1.0	DOE Joint Genome Institute	GCA_000300595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/595/GCF_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0		
GCF_001883845.1	PRJNA374862	SAMN05253255	MNUE00000000.1	representative genome	236234	236234	Diplodia corticola	strain=CBS 112549		latest	Scaffold	Major	Full	2016/11/18	ASM188384v1	University of Aveiro	GCA_001883845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/883/845/GCF_001883845.1_ASM188384v1		assembly from type material
GCF_000400465.1	PRJNA215734	SAMN02981518	APLC00000000.1	representative genome	1299270	245174	Wallemia ichthyophaga EXF-994	strain=EXF-994		latest	Scaffold	Major	Full	2013/05/20	Wallemia ichthyophaga version 1.0	BGI	GCA_000400465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/465/GCF_000400465.1_Wallemia_ichthyophaga_version_1.0		assembly designated as neotype
GCF_000836295.1	PRJNA326657	SAMN03176948	JYBX00000000.1	representative genome	253628	253628	Verruconis gallopava	strain=CBS 43764		latest	Scaffold	Major	Full	2015/02/23	O_gall_CBS43764	Broad Institute	GCA_000836295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/295/GCF_000836295.1_O_gall_CBS43764		
GCF_001642475.1	PRJNA342681	SAMN04498468	LVKK00000000.1	representative genome	254056	254056	Fonsecaea monophora	strain=CBS 269.37		latest	Contig	Major	Full	2016/05/11	ASM164247v1	Federal University of Parana	GCA_001642475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/475/GCF_001642475.1_ASM164247v1		assembly from type material
GCF_000349005.2	PRJNA245145	SAMN00102820	AFWA00000000.2	representative genome	1069680	263815	Pneumocystis murina B123	strain=B123		latest	Contig	Major	Full	2015/12/22	Pneumo_murina_B123_V4	Broad Institute	GCA_000349005.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/005/GCF_000349005.2_Pneumo_murina_B123_V4		
GCF_004022145.1	PRJNA531022	SAMN08778357	RCNU00000000.1	representative genome	264951	264951	Byssochlamys spectabilis	strain=CBS 101075		latest	Contig	Major	Full	2019/01/14	Paevar1	DOE Joint Genome Institute	GCA_004022145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/022/145/GCF_004022145.1_Paevar1		assembly from type material
GCF_000315875.1	PRJNA172186	SAMEA2272376		representative genome	1136231	273371	Candida orthopsilosis Co 90-125	strain=Co 90-125		latest	Chromosome	Major	Full	2012/03/14	ASM31587v1	Trinity College Dublin	GCA_000315875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/875/GCF_000315875.1_ASM31587v1		
GCF_001653235.2	PRJNA342685	SAMN02296946	LSBJ00000000.2	representative genome	1380566	280754	Pochonia chlamydosporia 170		170	latest	Chromosome	Major	Full	2017/07/10	ASM165323v2	The Institute of Vegetables and Flowers CAAS	GCA_001653235.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/235/GCF_001653235.2_ASM165323v2		
GCF_003184925.1	PRJNA479920	SAMN05661105	MSFS00000000.1	representative genome	1448311	288669	Aspergillus vadensis CBS 113365	strain=CBS 113365		latest	Scaffold	Major	Full	2018/06/04	Aspvad1	DOE Joint Genome Institute	GCA_003184925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/925/GCF_003184925.1_Aspvad1		assembly designated as reftype
GCF_000365145.1	PRJNA245131	SAMN02981492	AOBU00000000.1	representative genome	1220924	293227	Cyphellophora europaea CBS 101466	strain=CBS 101466		latest	Scaffold	Major	Full	2013/12/11	Phia_euro_CBS_101466_V1	Broad Institute	GCA_000365145.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/145/GCF_000365145.1_Phia_euro_CBS_101466_V1		assembly from type material
GCF_003184845.1	PRJNA479918	SAMN05660294	PSTI00000000.1	representative genome	1448316	301854	Aspergillus ibericus CBS 121593	strain=CBS 121593		latest	Scaffold	Major	Full	2018/06/04	Aspibe1	DOE Joint Genome Institute	GCA_003184845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/845/GCF_003184845.1_Aspibe1		assembly from type material
GCF_002849105.1	PRJNA453591	SAMN02744649	MSFO00000000.1	representative genome	1392250	306088	Aspergillus steynii IBT 23096	strain=IBT 23096		latest	Contig	Major	Full	2017/12/30	Aspste1	DOE Joint Genome Institute	GCA_002849105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/105/GCF_002849105.1_Aspste1		assembly from type material
GCF_000576695.1	PRJNA264007	SAMEA3138920	CBUD000000000.2	representative genome	1382522	317047	Kuraishia capsulata CBS 1993	strain=CBS 1993		latest	Scaffold	Major	Full	2014/02/11	AUH_PRJEB4427_v1	Genoscope CEA	GCA_000576695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/576/695/GCF_000576695.1_AUH_PRJEB4427_v1		assembly from type material
GCF_000002495.2	PRJNA1433	SAMN02953596	AACU00000000.3	representative genome	242507	318829	Pyricularia oryzae 70-15	strain=70-15		latest	Chromosome	Major	Full	2011/10/14	MG8	International Rice Blast Genome Consortium	GCA_000002495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8		
GCF_003184865.1	PRJNA479919	SAMN05660655	PSTJ00000000.1	representative genome	1450537	319626	Aspergillus homomorphus CBS 101889	strain=CBS 101889		latest	Scaffold	Major	Full	2018/06/04	Asphom1	DOE Joint Genome Institute	GCA_003184865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/865/GCF_003184865.1_Asphom1		assembly designated as reftype
GCF_003184525.1	PRJNA479906	SAMN05661070	MSFK00000000.1	representative genome	1450535	319627	Aspergillus sclerotioniger CBS 115572	strain=CBS 115572		latest	Contig	Major	Full	2018/06/04	Aspscl1	DOE Joint Genome Institute	GCA_003184525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/525/GCF_003184525.1_Aspscl1		assembly from type material
GCF_003184755.1	PRJNA479914	SAMN05660207	PSTD00000000.1	representative genome	1448313	319630	Aspergillus piperis CBS 112811	strain=CBS 112811		latest	Scaffold	Major	Full	2018/06/04	Asppip1	DOE Joint Genome Institute	GCA_003184755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/755/GCF_003184755.1_Asppip1		assembly designated as reftype
GCF_003184835.1	PRJNA479917	SAMN05660767	PSTH00000000.1	representative genome	1448317	319631	Aspergillus costaricaensis CBS 115574	strain=CBS 115574		latest	Scaffold	Major	Full	2018/06/04	Aspcos1	DOE Joint Genome Institute	GCA_003184835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/835/GCF_003184835.1_Aspcos1		assembly designated as reftype
GCF_000512585.1	PRJNA352838	SAMN01932836	ASCK00000000.1	representative genome	1296100	324769	Kwoniella bestiolae CBS 10118	strain=CBS 10118		latest	Scaffold	Major	Full	2016/07/14	Cryp_best_CBS10118_V1	Broad Institute	GCA_000512585.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/585/GCF_000512585.1_Cryp_best_CBS10118_V1		assembly from type material
GCF_000512565.1	PRJNA342698	SAMN01932837	ASCJ00000000.1	representative genome	1296121	324770	Kwoniella dejecticola CBS 10117	strain=CBS 10117		latest	Scaffold	Major	Full	2016/06/21	Cryp_deje_CBS10117_V1	Broad Institute	GCA_000512565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/565/GCF_000512565.1_Cryp_deje_CBS10117_V1		assembly from type material
GCF_000403515.1	PRJNA264001	SAMD00002584	BAOW00000000.1	representative genome	1305764	327079	Pseudozyma hubeiensis SY62	strain=SY62		latest	Scaffold	Major	Full	2013/05/16	ASM40351v1	Kitami Institute of Technology	GCA_000403515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/515/GCF_000403515.1_ASM40351v1		
GCF_000223485.1	PRJNA225527	SAMN00714472	AEIK00000000.1	representative genome	619300	340170	Spathaspora passalidarum NRRL Y-27907	strain=NRRL Y-27907		latest	Scaffold	Major	Full	2011/08/25	Spathaspora passalidarum v2.0	DOE Joint Genome Institute	GCA_000223485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/485/GCF_000223485.1_Spathaspora_passalidarum_v2.0		assembly from type material
GCF_002847465.1	PRJNA453589	SAMN02744592	MSZS00000000.1	representative genome	1392255	340412	Aspergillus novofumigatus IBT 16806	strain=IBT 16806		latest	Contig	Major	Full	2017/12/27	Aspnov1	DOE Joint Genome Institute	GCA_002847465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/465/GCF_002847465.1_Aspnov1		assembly from type material
GCF_001662655.1	PRJNA342683	SAMN03382556	LAJO00000000.1	representative genome	342668	342668	Pseudogymnoascus verrucosus	strain=UAMH 10579		latest	Scaffold	Major	Full	2016/06/24	ASM166265v1	US Forest Service	GCA_001662655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/662/655/GCF_001662655.1_ASM166265v1		assembly from type material
GCF_000835505.1	PRJNA326602	SAMN03176944	JYCB00000000.1	representative genome	348802	348802	Exophiala xenobiotica	strain=CBS 118157		latest	Scaffold	Major	Full	2015/02/23	Exop_xeno_CBS118157_V1	Broad Institute	GCA_000835505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/505/GCF_000835505.1_Exop_xeno_CBS118157_V1		assembly from type material
GCF_000464535.1	PRJNA245134	SAMN02981524	APWS00000000.1	representative genome	1263415	364733	Endocarpon pusillum Z07020	strain=Z07020		latest	Scaffold	Major	Full	2013/09/05	EPUS	chinese academy of science	GCA_000464535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/535/GCF_000464535.1_EPUS		
